tip_win_team,tip_to_player,first_shot_player,first_shot_team,first_shot_made,first_basket_player,first_basket_team,game_id
,Gilgeous-Alexander,I. Hartenstein,OKC,1,I. Hartenstein,OKC,0022500280
,O'Neale,D. Brooks,PHX,0,J. Goodwin,PHX,0022500281
,Hachimura,A. Reaves,LAL,0,L. James,LAL,0022500282
,Robinson,B. Sheppard,IND,0,P. Siakam,IND,0022500283
,Tyson,D. Mitchell,CLE,1,D. Mitchell,CLE,0022500284
,Mann,N. Claxton,BKN,0,K. Towns,NYK,0022500285
,Mitchell,B. Adebayo,MIA,0,B. Williams,DAL,0022500286
,Murray,P. Watson,DEN,0,Z. Edey,MEM,0022500287
,Avdija,S. Cissoko,POR,0,D. Clingan,POR,0022500288
,Williamson,J. Giddey,CHI,1,J. Giddey,CHI,0022500289
,Goodwin,D. Brooks,PHX,0,N. Richards,PHX,0022500290
,Post,M. Moody,GSW,0,K. George,UTA,0022500291
,Murray,D. Eubanks,SAC,0,A. Edwards,MIN,0022500292
,DiVincenzo,J. Randle,MIN,1,J. Randle,MIN,0022500293
,Barnes,I. Quickley,TOR,1,I. Quickley,TOR,0022500294
,Dosunmu,M. Buzelis,CHI,1,M. Buzelis,CHI,0022500295
,Herro,B. Adebayo,MIA,0,T. Harris,DET,0022500296
,Clowney,T. Mann,BKN,0,T. Martin,BKN,0022500297
,Green,D. Green,GSW,0,Q. Post,GSW,0022500298
DEN,S. Jones,G. Allen,PHX,1,G. Allen,PHX,0022500299
,Collins,I. Zubac,LAC,1,I. Zubac,LAC,0022500300
,George,A. Bailey,UTA,1,A. Bailey,UTA,0022500301
,Brown,P. Pritchard,BOS,1,P. Pritchard,BOS,0022500302
,Ingram,J. Battle,TOR,0,J. Walter,TOR,0022500303
,Alexander-Walker,N. Alexander-Walker,ATL,0,J. Embiid,PHI,0022500304
,Gilgeous-Alexander,C. Holmgren,OKC,0,J. Grant,POR,0022500305
,Edwards,J. McDaniels,MIN,1,J. McDaniels,MIN,0022500306
,Williams Jr.,C. Coward,MEM,0,D. Eubanks,SAC,0022500307
,Reaves,G. Vincent,LAL,0,L. Dončić,LAL,0022500308
,Johnson,N. Alexander-Walker,ATL,1,N. Alexander-Walker,ATL,0022500309
